Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
2,02E+11;18;10;23;1845;5;1;1;1;7;313;ROUTE DЙPARTEMENTALE 630;M;5025869;334191;590
2,02E+11;18;11;30;1420;1;1;1;1;7;645;CD.148;M;5027251;325313;590
2,02E+11;18;3;2;2230;3;1;1;1;6;35;chemin de la bridoulette;M;5011192;394567;590
2,02E+11;18;3;3;1130;1;1;1;1;6;534;RD962;M;5012195;390521;590
2,02E+11;18;3;8;1330;1;1;1;3;1;134;route d'Avesnes - RD424;M;5010249;387328;590
2,02E+11;18;3;15;1340;1;2;4;2;6;233;Rue de guersignies;M;5012848;395496;590
2,02E+11;18;3;18;130;3;1;1;4;6;177;CD962;M;5012547;386769;590
2,02E+11;18;4;25;629;2;1;1;1;6;35;face au 106 route d'Etro;M;5009399;393044;590
2,02E+11;18;5;12;1800;1;2;2;1;6;241;route de chevireuil;M;5005212;387547;590
2,02E+11;18;6;15;2140;2;1;2;1;1;218;Route nationale 2;M;5006802;392867;590
2,02E+11;18;7;12;2300;5;2;1;1;6;35;route d'йtroeungt;M;5011315;393185;590
2,02E+11;18;8;25;1300;1;1;2;1;3;218;lieu dit les Quatre Mais;M;5006641;393376;590
2,02E+11;18;9;24;1720;1;2;1;1;3;134;rue des plaques;M;5006925;383768;590
2,02E+11;18;10;14;1100;1;2;1;1;2;177;route de Cartignies;M;5012217;386039;590
2,02E+11;18;11;2;1650;1;1;1;1;2;290;rd 424 ROUTE DE CARTIGN;M;5010269;387925;590
2,02E+11;18;11;16;1950;3;1;1;5;1;35;CD 951;M;5010072;397305;590
2,02E+11;18;11;23;850;1;1;2;9;3;290;Route de cartignies;M;5010887;390095;590
2,02E+11;18;11;27;2145;5;2;2;1;1;181;Mont Dourlers;M;5017510;395466;590
2,02E+11;18;4;8;600;2;2;1;1;1;249;47 rue du Maire Coppeaux;M;5001776;405349;590
2,02E+11;18;5;13;1810;1;1;1;2;6;249;102 rue d'Anor;M;5000429;405287;590
2,02E+11;18;6;3;1230;1;1;2;7;3;249;D42;M;5002882;402831;590
2,02E+11;18;7;9;45;5;2;6;1;6;249;rue marceau batteux;M;5000682;405801;590
2,02E+11;18;3;22;155;4;2;1;1;6;531;Rue Pasteur;M;5007831;352506;590
2,02E+11;18;4;17;925;1;2;1;7;6;137;17 avenue de la groise;M;5007630;365392;590
2,02E+11;18;5;30;15;4;1;6;1;7;136;D643 - rond point direct;M;5010640;353644;590
2,02E+11;18;6;12;1657;1;2;3;1;6;136;place du cdt Edou;M;5010585;354180;590
2,02E+11;18;7;5;2110;1;2;4;1;7;136;62 rue charles seydoux;M;5010650;353709;590
2,02E+11;18;7;29;345;5;2;1;1;6;55;Rue du pommereuil;M;5009996;359892;590
2,02E+11;18;8;15;1130;1;1;1;2;2;450;D959;M;5011673;364089;590
2,02E+11;18;9;27;1640;1;2;2;1;6;136;boulevard paturle;M;5010616;353586;590
2,02E+11;18;10;8;1050;1;2;1;1;6;136;38 rue faidherbe;M;5009430;354043;590
2,02E+11;18;10;21;1500;1;1;2;7;3;465;RUE DE FOREST;M;5012243;359092;590
2,02E+11;18;11;21;1840;3;1;1;1;4;55;Rue du Cateau;M;5009536;357744;590
2,02E+11;18;1;20;1300;1;2;2;2;3;139;rue de Cambrai;M;5012280;340654;590
2,02E+11;18;2;17;1220;1;2;1;1;5;243;Rue Roger Salengro;M;5013069;338400;590
2,02E+11;18;3;3;650;2;2;1;9;6;139;rue aristide briand;M;5012306;341491;590
2,02E+11;18;3;15;1825;1;2;1;1;6;139;27 rue Saint Gall;M;5011949;341533;590
2,02E+11;18;3;26;1830;1;1;2;1;3;139;RD643;M;5013282;341709;590
2,02E+11;18;4;10;1415;1;2;9;1;6;139;rue Jules Guesde;M;5012606;340715;590
2,02E+11;18;4;3;1040;1;2;1;1;2;139;rue de Saint Quentin;M;5011141;340750;590
2,02E+11;18;5;22;1315;1;2;1;1;6;139;rue stephenson;M;5012707;341769;590
2,02E+11;18;6;1;1330;1;2;6;3;3;139;rue aristide birand;M;5012199;342028;590
2,02E+11;18;6;15;45;3;1;1;1;1;321;D643;M;5011850;347853;590
2,02E+11;18;6;15;1710;1;2;2;1;4;139;Rue de la Rйpublique;M;5012748;340700;590
2,02E+11;18;9;18;530;3;1;2;1;2;139;RD643;M;5012674;344331;590
2,02E+11;18;10;5;1730;1;1;1;1;6;321;D134;M;5012805;346442;590
2,02E+11;18;11;5;1630;1;1;1;1;5;63;D643;M;5014634;335815;590
2,02E+11;18;11;27;1750;5;2;3;1;1;139;203 rue de la rйpublique;M;5013212;340264;590
2,02E+11;18;5;27;1830;1;1;3;1;1;552;CD643;M;5021603;318105;590
2,02E+11;18;5;27;1525;1;2;1;1;7;593;Sentier de la montagne;M;5020723;327766;590
2,02E+11;18;7;21;1750;1;1;1;1;6;216;RD 152;M;5022120;326042;590
2,02E+11;18;8;5;1825;1;1;1;7;6;595;CD630;M;5021577;330035;590
2,02E+11;18;8;3;330;3;2;1;1;6;322;rue clйmenceau;M;5022818;331964;590
2,02E+11;18;12;24;1800;5;2;1;1;6;422;RD 114;M;5019919;331097;590
2,02E+11;18;1;27;2315;3;1;1;2;6;438;D29;M;5014496;319800;590
2,02E+11;18;4;26;2300;3;1;1;1;6;377;D 56;M;5011780;317104;590
2,02E+11;18;7;19;1800;1;1;1;1;6;269;rue de Trescault;M;5006112;312359;590
2,02E+11;18;9;2;430;3;1;6;1;6;520;D644;M;5013358;321532;590
2,02E+11;18;1;6;1900;3;1;1;1;6;575;D40;M;5026158;349355;590
