Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
2,018E+11;3;643;;;2;2;2;773;0;1;1;;;1;0;1;0
2,018E+11;3;643;;R;2;2;9;550;1;1;1;;;1;5;1;0
2,018E+11;3;2643;;;2;2;11;612;0;1;1;;;1;0;1;0
2,018E+11;3;2643;;D;2;2;12;18;0;2;1;;;1;5;1;0
2,018E+11;3;86;;;2;2;;;0;1;1;;;1;0;4;0
2,018E+11;3;959;;;2;2;6;491;0;1;1;;;1;0;1;0
2,018E+11;4;;;;;;;;;;;;;;;;
2,018E+11;3;67;;D;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;86;;D;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;643;;;2;2;8;790;0;1;1;;;1;0;1;0
2,018E+11;4;;;;;;;;;;;;;;;;
2,018E+11;3;115;;;2;2;5;1000;0;1;1;;;1;0;1;0
2,018E+11;4;;;;3;2;;;0;1;1;;;7;0;4;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;45;;;2;2;16;121;0;1;1;;;1;5;1;0
2,018E+11;6;;;;0;1;;;3;1;1;;;1;0;1;0
2,018E+11;3;16;;;2;2;26;134;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;2;0;1;0
2,018E+11;3;643;;D;2;2;16;385;0;1;1;;;1;0;1;0
2,018E+11;3;16;;A;2;2;0;482;0;1;1;;;1;0;1;0
2,018E+11;3;115;;;;;;;;;;;;;;;
2,018E+11;3;134;;;2;2;;;0;1;2;;;1;0;1;0
2,018E+11;3;643;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;16;;A;2;2;1;0;0;1;1;;;1;0;1;0
2,018E+11;3;340;;;2;2;30;929;0;1;1;;;1;5;1;0
2,018E+11;4;;;;0;1;;;0;1;1;;;9;0;3;0
2,018E+11;3;152;;;2;2;3;660;0;2;1;;;1;0;1;0
2,018E+11;3;630;;;2;2;19;400;1;1;1;;;1;0;3;0
2,018E+11;3;630;;;2;2;20;783;0;1;3;;;1;0;4;0
2,018E+11;3;114;;;2;2;4;870;0;1;1;;;1;2;1;0
2,018E+11;3;29;;;2;2;4;40;0;1;1;;;2;0;3;0
2,018E+11;3;56;;;2;2;4;888;0;1;1;;;1;0;3;0
2,018E+11;3;29;;;2;2;15;398;0;2;1;;;1;0;3;0
2,018E+11;3;644;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;40;;D;2;2;;;0;1;1;;;1;0;3;0
2,018E+11;4;;;;;;;;;;;;;;;;
2,018E+11;3;109;;D;4;2;1;659;0;1;1;;;1;0;1;0
2,018E+11;3;643;;D;1;1;;;0;1;1;;;1;0;1;0
2,018E+11;3;65;;;2;2;3;400;0;1;1;;;1;0;1;0
2,018E+11;3;25;;A;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;247;;;2;2;;;0;1;1;;;1;2;3;0
2,018E+11;3;643;;;2;3;47;630;0;2;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;2;;;1;0;1;0
2,018E+11;3;65;;D;2;2;10;1;0;1;1;;;1;0;1;0
2,018E+11;3;643;;;1;2;54;500;1;1;2;;;1;0;1;0
2,018E+11;3;47;;;2;2;43;;0;1;2;;;1;0;1;0
2,018E+11;3;135;;A;2;2;2;635;0;1;1;;;2;0;1;0
2,018E+11;3;126;;;;;;;;;;;;;;;
2,018E+11;3;549;;;2;2;;;2;1;1;;;7;0;1;0
2,018E+11;3;938;;;2;2;;;1;1;1;;;1;0;5;0
2,018E+11;3;957;;;2;2;;;0;2;1;;;1;0;1;0
2,018E+11;3;938;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;938;;;2;2;;;1;1;1;;;1;0;1;0
2,018E+11;3;938;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;938;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;230;;;2;2;;;0;1;2;;;1;0;3;0
2,018E+11;3;126;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;9;;;;0;1;;;0;1;1;;;9;0;1;0
2,018E+11;3;549;;D;2;2;;;0;1;1;;;1;0;3;0
2,018E+11;3;938;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;549;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;430;;;2;2;;;0;1;3;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;3;;;1;0;1;0
2,018E+11;3;938;;;2;2;;;0;1;1;;;2;0;3;0
2,018E+11;4;;;;2;2;;;0;1;3;;;2;0;1;0
2,018E+11;3;30;;D;2;2;;;0;1;1;;;7;0;1;0
2,018E+11;3;154;;;2;2;11;600;0;1;1;;48;1;0;3;0
2,018E+11;3;154;;;;;;;;;;;;;;;
2,018E+11;2;2;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;942;;;2;2;45;850;0;2;3;;67;1;0;1;0
2,018E+11;3;649;;;3;4;81;800;0;2;1;10;100;1;0;1;0
2,018E+11;3;2649;;;2;2;;;0;2;4;;;1;0;1;0
2,018E+11;3;154;;D;2;2;6;643;0;1;1;;;1;0;1;0
2,018E+11;3;951;;D;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;100;;;2;2;9;900;0;1;2;;;2;0;3;0
2,018E+11;3;932;;;2;2;32;550;0;1;1;;67;1;0;1;0
2,018E+11;4;;;;0;2;;;0;1;1;;;9;0;1;0
2,018E+11;4;34;;;2;2;;;0;2;3;;;1;0;1;0
2,018E+11;3;86;;;2;2;1;5;0;1;1;;;1;5;1;0
2,018E+11;1;16;;;3;4;59;568;0;1;1;;;1;0;1;0
2,018E+11;1;16;;;3;4;69;100;0;2;1;;;1;0;1;0
2,018E+11;1;16;;;3;4;60;550;0;1;1;;;1;0;1;0
2,018E+11;1;16;;;3;2;63;300;0;1;1;;;1;0;1;0
